symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
A,Agilent Technologies Inc. Common Stock,$123.00,-1.04,0.838,1345485,37477794345.00,United States,1999,Biotechnology: Laboratory Analytical Instruments,Capital Goods,/market-activity/stocks/a
AA,Alcoa Corporation Common Stock ,$29.52,-1.52,4.897,5031537,5498144811.00,,2016,Aluminum,Basic Industries,/market-activity/stocks/aa
AACG,ATA Creativity Global American Depositary Shares,$4.26,-0.40,8.584,236064,133553134.00,China,,Other Consumer Services,Consumer Services,/market-activity/stocks/aacg
AACQ,Artius Acquisition Inc. Class A Common Stock,$10.45,-0.14,1.322,1711374,946378125.00,United States,2020,Major Chemicals,Basic Industries,/market-activity/stocks/aacq
AACQU,Artius Acquisition Inc. Unit ,$11.24,-0.24,2.091,48947,0.00,United States,2020,Major Chemicals,Basic Industries,/market-activity/stocks/aacqu
AACQW,Artius Acquisition Inc Warrant,$2.27,-0.26,10.277,240738,0.00,United States,2020,Major Chemicals,Basic Industries,/market-activity/stocks/aacqw
AAIC,Arlington Asset Investment Corp Class A (new),$4.04,-0.21,4.941,190945,134953231.00,United States,,Real Estate Investment Trusts,Consumer Services,/market-activity/stocks/aaic
AAIC^B,Arlington Asset Investment Corp 7.00% ,$22.82,0.37,1.648,446,,United States,,,,/market-activity/stocks/aaic^b
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,$22.50,0.44,1.995,8314,,United States,,,,/market-activity/stocks/aaic^c
AAL,American Airlines Group Inc. Common Stock,$24.47,-0.70,2.781,47826819,15652866826.00,United States,,Air Freight/Delivery Services,Transportation,/market-activity/stocks/aal
AAMC,Altisource Asset Management Corp Com,$19.53,-0.05,0.255,9724,40003670.00,United States,,Real Estate,Finance,/market-activity/stocks/aamc
AAME,Atlantic American Corporation Common Stock,$4.27,0.02,0.471,68761,87168971.00,United States,,Life Insurance,Finance,/market-activity/stocks/aame
AAN,Aarons Holdings Company Inc. Common Stock ,$26.83,0.33,1.245,268754,917717762.00,United States,2020,Diversified Commercial Services,Technology,/market-activity/stocks/aan
AAOI,Applied Optoelectronics Inc. Common Stock,$8.90,-0.14,1.549,707081,237626912.00,United States,2013,Semiconductors,Technology,/market-activity/stocks/aaoi
AAON,AAON Inc. Common Stock,$72.95,-2.05,2.733,183677,3814339276.00,United States,,Industrial Machinery/Components,Capital Goods,/market-activity/stocks/aaon
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,$179.11,-2.58,1.42,987253,11736078866.00,United States,,Other Specialty Stores,Consumer Services,/market-activity/stocks/aap
AAPL,Apple Inc. Common Stock,$125.57,1.58,1.274,115025224,2177049783800.00,United States,1980,Computer Manufacturing,Technology,/market-activity/stocks/aapl
AAT,American Assets Trust Inc. Common Stock,$34.28,-1.34,3.762,281405,2073031237.00,United States,2011,Real Estate Investment Trusts,Consumer Services,/market-activity/stocks/aat
AAU,Almaden Minerals Ltd. Common Shares,$0.6058,-0.1226,16.831,18835467,73483694.00,Canada,2015,Precious Metals,Basic Industries,/market-activity/stocks/aau
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$58.39,-1.29,2.162,380831,1681500447.00,United States,,Transportation Services,Transportation,/market-activity/stocks/aaww
AB,AllianceBernstein Holding L.P.  Units,$39.20,-0.27,0.684,746923,3850339326.00,United States,,Investment Managers,Finance,/market-activity/stocks/ab
ABB,ABB Ltd Common Stock,$30.92,-0.18,0.579,1398034,62793392505.00,Switzerland,,Electrical Products,Consumer Durables,/market-activity/stocks/abb
ABBV,AbbVie Inc. Common Stock,$110.84,0.58,0.526,5568596,195730326520.00,United States,2012,Major Pharmaceuticals,Health Care,/market-activity/stocks/abbv
ABC,AmerisourceBergen Corporation Common Stock,$112.86,-1.00,0.878,939511,23103136089.00,United States,,Other Pharmaceuticals,Health Care,/market-activity/stocks/abc
ABCB,Ameris Bancorp Common Stock,$55.85,0.15,0.269,428383,3888219642.00,United States,1994,Major Banks,Finance,/market-activity/stocks/abcb
ABCL,AbCellera Biologics Inc. Common Shares,$37.88,0.33,0.879,963910,10196832652.00,Canada,2020,Major Pharmaceuticals,Health Care,/market-activity/stocks/abcl
ABCM,Abcam plc American Depositary Shares,$21.40,-0.07,0.326,40338,4851804769.00,United Kingdom,2020,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/abcm
ABEO,Abeona Therapeutics Inc. Common Stock,$2.32,0.01,0.433,2094081,223025493.00,United States,,Major Pharmaceuticals,Health Care,/market-activity/stocks/abeo
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.71,-0.03,1.095,11825455,42641600135.00,,2013,Beverages (Production/Distribution),Consumer Non-Durables,/market-activity/stocks/abev
ABG,Asbury Automotive Group Inc Common Stock,$190.38,-0.12,0.063,145767,3679807996.00,United States,2002,Automotive Aftermarket,Consumer Durables,/market-activity/stocks/abg
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,$9.98,0.07,0.706,210430,192938849.00,United States,2021,Business Services,Finance,/market-activity/stocks/abgi
ABIO,ARCA biopharma Inc. Common Stock,$4.21,-0.10,2.32,601931,39243389.00,United States,,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,/market-activity/stocks/abio
ABM,ABM Industries Incorporated Common Stock,$51.41,-0.59,1.135,263656,3449081271.00,United States,,Diversified Commercial Services,Finance,/market-activity/stocks/abm
ABMD,ABIOMED Inc. Common Stock,$308.69,1.51,0.492,494229,13962346895.00,United States,,Medical/Dental Instruments,Health Care,/market-activity/stocks/abmd
ABNB,Airbnb Inc. Class A Common Stock,$200.01,-9.98,4.753,4595851,119285765390.00,United States,2020,Diversified Commercial Services,Finance,/market-activity/stocks/abnb
ABR,Arbor Realty Trust Common Stock,$16.58,-0.33,1.952,833350,2054619680.00,United States,2004,Real Estate Investment Trusts,Consumer Services,/market-activity/stocks/abr
ABR^A,Arbor Realty Trust Preferred Series A,$25.53,-0.04,0.156,1819,,United States,,,,/market-activity/stocks/abr^a
ABR^B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,$25.4825,0.0625,0.246,2278,,United States,,,,/market-activity/stocks/abr^b
ABR^C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,$25.9499,0.0699,0.27,665,,United States,,,,/market-activity/stocks/abr^c
ABST,Absolute Software Corporation Common Stock,$15.20,-0.24,1.554,47883,746574706.00,Canada,2020,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/abst
ABT,Abbott Laboratories Common Stock,$118.22,0.12,0.102,3870506,209430200703.00,United States,,Major Pharmaceuticals,Health Care,/market-activity/stocks/abt
ABTX,Allegiance Bancshares Inc. Common Stock,$41.49,-0.62,1.472,45167,836727502.00,United States,2015,Major Banks,Finance,/market-activity/stocks/abtx
ABUS,Arbutus Biopharma Corporation Common Stock,$3.81,0.03,0.794,3885885,368609556.00,Canada,,Major Pharmaceuticals,Health Care,/market-activity/stocks/abus
AC,Associated Capital Group Inc. Common Stock,$36.30,-0.33,0.901,13363,809676800.00,United States,2015,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/ac
ACA,Arcosa Inc. Common Stock ,$65.03,-2.03,3.027,192156,3132962861.00,,2018,Metal Fabrications,Capital Goods,/market-activity/stocks/aca
ACAC,Acies Acquisition Corp. Class A Ordinary Share,$10.26,0.01,0.098,103581,276058125.00,United States,2020,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/acac
ACACU,Acies Acquisition Corp. Unit,$10.85,0.00,0.0,22527,0.00,United States,2020,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/acacu
ACACW,Acies Acquisition Corp. Warrant,$1.88,-0.09,4.569,29635,0.00,United States,2020,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/acacw
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$27.34,-2.65,8.836,4509789,4375697830.00,United States,1985,Major Pharmaceuticals,Health Care,/market-activity/stocks/acad
ACAHU,Atlantic Coastal Acquisition Corp. Unit,$9.98,0.00,0.0,269442,0.00,United States,2021,Business Services,Finance,/market-activity/stocks/acahu
ACB,Aurora Cannabis Inc. Common Shares,$10.44,-0.70,6.284,12913718,2060760150.00,,2018,Specialty Chemicals,Consumer Durables,/market-activity/stocks/acb
ACBI,Atlantic Capital Bancshares Inc. Common Stock,$24.55,-0.09,0.365,69709,500695090.00,United States,,Major Banks,Finance,/market-activity/stocks/acbi
ACC,American Campus Communities Inc Common Stock,$43.94,-0.91,2.029,1192338,6047951911.00,United States,2004,Real Estate Investment Trusts,Consumer Services,/market-activity/stocks/acc
ACCD,Accolade Inc. Common Stock,$46.23,-2.30,4.739,1054468,2687970353.00,United States,2020,,,/market-activity/stocks/accd
ACCO,Acco Brands Corporation Common Stock,$8.66,-0.26,2.915,463882,822961151.00,United States,,Publishing,Consumer Durables,/market-activity/stocks/acco
ACEL,Accel Entertainment Inc. ,$11.88,-0.22,1.818,281721,1149780507.00,United States,2017,Services-Misc. Amusement & Recreation,Consumer Services,/market-activity/stocks/acel
ACER,Acer Therapeutics Inc. Common Stock (DE),$3.60,-0.60,14.286,1762509,51516878.00,United States,,Major Pharmaceuticals,Health Care,/market-activity/stocks/acer
ACET,Adicet Bio Inc. Common Stock ,$15.78,-0.82,4.94,224710,309127486.00,United States,2018,Major Pharmaceuticals,Health Care,/market-activity/stocks/acet
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,$10.57,0.10,0.955,498843,303887500.00,United States,2020,Semiconductors,Technology,/market-activity/stocks/acev
ACEVU,ACE Convergence Acquisition Corp. Unit,$11.58,-0.16,1.363,1364,0.00,United States,2020,Semiconductors,Technology,/market-activity/stocks/acevu
ACEVW,ACE Convergence Acquisition Corp. Warrant,$2.20,-0.28,11.29,247633,0.00,United States,2020,Semiconductors,Technology,/market-activity/stocks/acevw
ACGL,Arch Capital Group Ltd. Common Stock,$37.86,-0.23,0.604,1609838,15258129538.00,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acgl
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$25.929,-0.311,1.185,23295,0.00,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acglo
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,$25.30,-0.06,0.237,19950,0.00,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acglp
ACH,Aluminum Corporation of China Limited American Depositary Shares,$13.02,-0.37,2.763,76656,8865408072.00,China,2001,Aluminum,Basic Industries,/market-activity/stocks/ach
ACHC,Acadia Healthcare Company Inc. Common Stock,$59.43,-1.54,2.526,499200,5291643991.00,United States,,Medical Specialities,Health Care,/market-activity/stocks/achc
ACHV,Achieve Life Sciences Inc. Common Shares,$11.69,-0.41,3.388,81209,71892530.00,United States,,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,/market-activity/stocks/achv
ACI,Albertsons Companies Inc. Class A Common Stock,$19.00,0.25,1.333,1424399,8845131902.00,United States,2020,Food Chains,Consumer Services,/market-activity/stocks/aci
ACIC,Atlas Crest Investment Corp. Class A Common Stock,$10.56,-0.36,3.297,2265532,660000000.00,United States,2020,Business Services,Finance,/market-activity/stocks/acic
ACIU,AC Immune SA Common Stock,$7.92,-0.16,1.98,557169,568190977.00,Switzerland,2016,Major Pharmaceuticals,Health Care,/market-activity/stocks/aciu
ACIW,ACI Worldwide Inc. Common Stock,$39.96,-0.515,1.272,322308,4681016578.00,United States,,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/aciw
ACKIT,Ackrell SPAC Partners I Co. Subunits,$9.93,-0.02,0.201,2595,0.00,United States,2021,Business Services,Finance,/market-activity/stocks/ackit
ACKIU,Ackrell SPAC Partners I Co. Units,$10.23,-0.01,0.098,12271,0.00,United States,2020,Business Services,Finance,/market-activity/stocks/ackiu
ACKIW,Ackrell SPAC Partners I Co. Warrants,$0.69,-0.0301,4.18,19961,0.00,United States,2021,Business Services,Finance,/market-activity/stocks/ackiw
ACLS,Axcelis Technologies Inc. Common Stock,$42.55,1.65,4.034,942332,1435300387.00,United States,2000,Industrial Machinery/Components,Technology,/market-activity/stocks/acls
ACM,AECOM Common Stock,$61.39,-1.17,1.87,765102,9071877599.00,United States,2007,Military/Government/Technical,Consumer Services,/market-activity/stocks/acm
ACMR,ACM Research Inc. Class A Common Stock,$93.16,-1.05,1.115,151762,1746101047.00,United States,2017,Industrial Machinery/Components,Technology,/market-activity/stocks/acmr
ACN,Accenture plc Class A Ordinary Shares (Ireland),$263.52,-2.74,1.029,2185559,174222329458.00,Ireland,2001,Business Services,Miscellaneous,/market-activity/stocks/acn
ACNB,ACNB Corporation Common Stock,$29.70,-2.53,7.85,17573,258668972.00,United States,,Major Banks,Finance,/market-activity/stocks/acnb
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,$9.94,-0.01,0.101,63775,514395000.00,United States,2020,Business Services,Finance,/market-activity/stocks/acnd
ACOR,Acorda Therapeutics Inc. Common Stock,$5.90,0.03,0.511,121968,55951092.00,United States,2006,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/acor
ACP,Aberdeen Income Credit Strategies Fund Common Shares,$11.60,-0.07,0.6,111903,202212314.00,United States,2011,,,/market-activity/stocks/acp
ACQRU,Independence Holdings Corp. Units,$10.20,0.00,0.0,253285,0.00,United States,2021,Business Services,Finance,/market-activity/stocks/acqru
ACR,ACRES Commercial Realty Corp. Common Stock,$15.68,-0.27,1.693,74987,149070136.00,United States,,Real Estate Investment Trusts,Consumer Services,/market-activity/stocks/acr
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,$25.00,0.14,0.563,55616,,United States,,,,/market-activity/stocks/acr^c
ACRE,Ares Commercial Real Estate Corporation Common Stock,$14.45,-0.56,3.731,3983930,483754802.00,United States,2012,Real Estate Investment Trusts,Consumer Services,/market-activity/stocks/acre
ACRS,Aclaris Therapeutics Inc. Common Stock,$23.76,-0.18,0.752,395241,1230869170.00,United States,2015,Major Pharmaceuticals,Health Care,/market-activity/stocks/acrs
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$1.86,-0.32,14.679,6753453,211688360.00,United States,2011,Major Pharmaceuticals,Health Care,/market-activity/stocks/acrx
ACST,Acasti Pharma Inc. Class A Common Stock,$0.715,-0.047,6.168,16885608,69278164.00,Canada,,Major Pharmaceuticals,Health Care,/market-activity/stocks/acst
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,$18.55,-1.23,6.218,1106394,643453125.00,United States,2020,Auto Manufacturing,Capital Goods,/market-activity/stocks/actc
ACTCU,ArcLight Clean Transition Corp. Unit,$21.63,-1.30,5.669,3829,0.00,United States,2020,Auto Manufacturing,Capital Goods,/market-activity/stocks/actcu
ACTCW,ArcLight Clean Transition Corp. Warrant,$6.31,-0.4901,7.207,150375,0.00,United States,2020,Auto Manufacturing,Capital Goods,/market-activity/stocks/actcw
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$6.11,-0.28,4.382,1239574,301097458.00,United States,,Multi-Sector Companies,Miscellaneous,/market-activity/stocks/actg
ACU,Acme United Corporation. Common Stock,$39.4291,-1.6909,4.112,10663,131650335.00,United States,1988,Industrial Machinery/Components,Capital Goods,/market-activity/stocks/acu
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$32.46,-0.28,0.855,28427,336088243.00,United States,2015,,,/market-activity/stocks/acv
ACY,AeroCentury Corp. Common Stock,$8.46,-0.40,4.515,77641,13078179.00,United States,,Diversified Commercial Services,Technology,/market-activity/stocks/acy
ADAG,Adagene Inc. American Depositary Shares,$22.36,0.41,1.868,10117,943140775.00,China,2021,Major Pharmaceuticals,Health Care,/market-activity/stocks/adag
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$5.34,-0.02,0.373,638758,828436626.00,United Kingdom,2015,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/adap
ADBE,Adobe Inc. Common Stock,$450.54,2.95,0.659,2617697,215955352220.00,United States,1986,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/adbe
ADC,Agree Realty Corporation Common Stock,$68.98,-0.45,0.648,751924,4378262897.00,United States,,Real Estate Investment Trusts,Consumer Services,/market-activity/stocks/adc
ADCT,ADC Therapeutics SA Common Shares,$29.25,4.24,16.953,2695237,2244020454.00,,2020,Major Pharmaceuticals,Health Care,/market-activity/stocks/adct
ADER,26 Capital Acquisition Corp. Class A Common Stock,$9.77,-0.02,0.204,120167,335843750.00,United States,2021,Business Services,Finance,/market-activity/stocks/ader
ADERU,26 Capital Acquisition Corp. Unit,$10.22,-0.10,0.969,137109,0.00,United States,2021,Business Services,Finance,/market-activity/stocks/aderu
ADERW,26 Capital Acquisition Corp. Warrant,$0.98,-0.085,7.981,141274,0.00,United States,2021,Business Services,Finance,/market-activity/stocks/aderw
ADES,Advanced Emissions Solutions Inc. Common Stock,$5.77,0.05,0.874,103254,106853741.00,United States,,Major Chemicals,Basic Industries,/market-activity/stocks/ades
ADEX,Adit EdTech Acquisition Corp. Common Stock,$9.7101,0.0102,0.105,13811,0.00,,2021,Business Services,Finance,/market-activity/stocks/adex
ADFI,Anfield Dynamic Fixed Income ETF,$9.632,0.002,0.021,15853,,,2020,,,/market-activity/stocks/adfi
ADI,Analog Devices Inc. Common Stock,$153.08,2.08,1.377,2324346,56548297271.00,United States,,Semiconductors,Technology,/market-activity/stocks/adi
ADIL,Adial Pharmaceuticals Inc Common Stock,$2.50,-0.20,7.407,622321,37832700.00,United States,2018,Major Pharmaceuticals,Health Care,/market-activity/stocks/adil
ADILW,Adial Pharmaceuticals Inc Warrant,$0.745,-0.025,3.247,238,0.00,United States,2018,Major Pharmaceuticals,Health Care,/market-activity/stocks/adilw
ADM,Archer-Daniels-Midland Company Common Stock,$57.78,-0.52,0.892,1549488,32265165196.00,United States,,Packaged Foods,Consumer Non-Durables,/market-activity/stocks/adm
ADMA,ADMA Biologics Inc Common Stock,$2.11,-0.04,1.86,3480578,199496390.00,United States,,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/adma
ADME,Aptus Drawdown Managed Equity ETF,$36.23,-0.03,0.083,20977,,United States,2016,,,/market-activity/stocks/adme
ADMP,Adamis Pharmaceuticals Corporation Common Stock,$1.05,-0.08,7.08,5314420,147293211.00,United States,,Major Pharmaceuticals,Health Care,/market-activity/stocks/admp
